No,日本語名,英語名,定義,カテゴリ,ドメイン
3623,仮想通貨法,,仮想通貨法に関連する業務用語。,Concept,投資
3624,仮払消費税等,,仮払消費税等に関連する業務用語。,Process,税務
3625,仮払金,,仮払金に関連する業務用語。,Concept,共通
3626,仮条件,,仮条件に関連する業務用語。,Concept,共通
3627,仮決算,,仮決算に関連する業務用語。,Document,会計
3628,仮装売買,,仮装売買に関連する業務用語。,Concept,共通
3629,仮計上,,仮計上に関連する業務用語。,Concept,共通
3630,仮説,,仮説に関連する業務用語。,Concept,共通
3631,仮説思考,Hypothesis-Driven Thinking,仮説思考に関連する業務用語。,Concept,共通
3632,仮説思考・仮説検証,,仮説思考・仮説検証に関連する業務用語。,Concept,共通
3633,仮説検証,,仮説検証に関連する業務用語。,Concept,共通
3634,仮需,,仮需に関連する業務用語。,Concept,共通
3635,仮需要,,仮需要に関連する業務用語。,Concept,共通
3636,仲値,,仲値に関連する業務用語。,Concept,共通
3637,仲値不足,,仲値不足に関連する業務用語。,Concept,共通
3638,仲立会員,,仲立会員に関連する業務用語。,Concept,共通
3639,任意の報酬委員会,Voluntary Compensation Committee,任意の報酬委員会に関連する業務用語。,Entity,ガバナンス
3640,任意の指名委員会,Voluntary Nomination Committee,任意の指名委員会に関連する業務用語。,Entity,ガバナンス
3641,任意償還,,任意償還に関連する業務用語。,Concept,共通
3642,任意準備金,,任意準備金に関連する業務用語。,Concept,共通
3643,任意監査,,任意監査に関連する業務用語。,Process,会計
3644,任意積立金,,任意積立金に関連する業務用語。,Concept,共通
3645,任意調査,,任意調査に関連する業務用語。,Concept,共通
3646,企業の社会的責任,,企業の社会的責任に関連する業務用語。,Entity,共通
3647,企業会計,,企業会計に関連する業務用語。,Document,会計
3648,企業会計原則,,企業会計原則に関連する業務用語。,Document,会計
3649,企業会計基準委員会,,企業会計基準委員会に関連する業務用語。,Document,会計
3650,企業価値,,企業価値に関連する業務用語。,Entity,共通
3651,企業倫理,,企業倫理に関連する業務用語。,Entity,共通
3652,企業再生,Corporate Restructuring,企業再生に関連する業務用語。,Entity,共通
3653,企業再生ファンド,,企業再生ファンドに関連する業務用語。,Metric,投資
3654,企業再生支援機構,,企業再生支援機構に関連する業務用語。,Entity,共通
3655,企業再編,,企業再編に関連する業務用語。,Entity,共通
3656,企業別労働組合,,企業別労働組合に関連する業務用語。,Entity,人事
3657,企業別組合,,企業別組合に関連する業務用語。,Entity,人事
3658,企業向けサービス価格指数,,企業向けサービス価格指数に関連する業務用語。,Entity,共通
3659,企業在庫（米国）,,企業在庫（米国）に関連する業務用語。,Concept,調達
3660,企業型401k,,企業型401kに関連する業務用語。,Entity,共通
3661,企業型401ｋ,,企業型401ｋに関連する業務用語。,Entity,共通
3662,企業型DC,,企業型DCに関連する業務用語。,Entity,共通
3663,企業型確定拠出年金,,企業型確定拠出年金に関連する業務用語。,Process,人事
3664,企業型ＤＣ,,企業型ＤＣに関連する業務用語。,Entity,共通
3665,企業年金,,企業年金に関連する業務用語。,Process,人事
3666,企業年金連合会,,企業年金連合会に関連する業務用語。,Process,人事
3667,企業情報,Company Information,企業情報に関連する業務用語。,Entity,共通
3668,企業業績,,企業業績に関連する業務用語。,Entity,共通
3669,企業物価指数,,企業物価指数に関連する業務用語。,Entity,共通
3670,企業結合,,企業結合に関連する業務用語。,Entity,共通
3671,企業結合会計,,企業結合会計に関連する業務用語。,Document,会計
3672,企業結合日,,企業結合日に関連する業務用語。,Entity,共通
3673,企業統治,,企業統治に関連する業務用語。,Entity,共通
3674,企業行動に関するアンケート調査,,企業行動に関するアンケート調査に関連する業務用語。,Entity,共通
3675,企業買収,,企業買収に関連する業務用語。,Process,M&A
3676,企業間信用,,企業間信用に関連する業務用語。,Entity,共通
3677,企業集団,,企業集団に関連する業務用語。,Entity,共通
3678,休む,,休むに関連する業務用語。,Concept,共通
3679,休むべし,,休むべしに関連する業務用語。,Concept,共通
3680,休むも相場,,休むも相場に関連する業務用語。,Concept,共通
3681,休眠預金,,休眠預金に関連する業務用語。,Concept,共通
3682,会社の不成立,,会社の不成立に関連する業務用語。,Entity,共通
3683,会社の機関,,会社の機関に関連する業務用語。,Entity,共通
3684,会社分割,Company Split / Demerger,会社分割に関連する業務用語。,Entity,共通
3685,会社四季報,,会社四季報に関連する業務用語。,Entity,共通
3686,会社型投資信託,,会社型投資信託に関連する業務用語。,Metric,投資
3687,会社役員の状況,Company Officer Status,会社役員の状況に関連する業務用語。,Entity,人事
3688,会社更生法,,会社更生法に関連する業務用語。,Entity,共通
3689,会社法,Companies Act,会社法に関連する業務用語。,Entity,共通
3690,会社法会計,,会社法会計に関連する業務用語。,Document,会計
3691,会社法決算,,会社法決算に関連する業務用語。,Document,会計
3692,会社法監査,,会社法監査に関連する業務用語。,Process,会計
3693,会計,,会計に関連する業務用語。,Document,会計
3694,会計ビッグバン,,会計ビッグバンに関連する業務用語。,Document,会計
3695,会計上の変更,,会計上の変更に関連する業務用語。,Document,会計
3696,会計上の見積り,,会計上の見積りに関連する業務用語。,Document,会計
3697,会計上の見積りの変更,,会計上の見積りの変更に関連する業務用語。,Document,会計
3698,会計公準,,会計公準に関連する業務用語。,Document,会計
3699,会計処理の統一,,会計処理の統一に関連する業務用語。,Document,会計
3700,会計原則,,会計原則に関連する業務用語。,Document,会計
3701,会計参与,,会計参与に関連する業務用語。,Document,会計
3702,会計参与設置会社,,会計参与設置会社に関連する業務用語。,Document,会計
3703,会計基準,Accounting Standards,会計基準に関連する業務用語。,Document,会計
3704,会計基準の公開草案,,会計基準の公開草案に関連する業務用語。,Document,会計
3705,会計基準変更時差異,,会計基準変更時差異に関連する業務用語。,Document,会計
3706,会計帳簿,,会計帳簿に関連する業務用語。,Document,会計
3707,会計年度,,会計年度に関連する業務用語。,Document,会計
3708,会計方針,Accounting Policy,会計方針に関連する業務用語。,Document,会計
3709,会計方針の変更,,会計方針の変更に関連する業務用語。,Document,会計
3710,会計期間,,会計期間に関連する業務用語。,Document,会計
3711,会計発生高,,会計発生高に関連する業務用語。,Document,会計
3712,会計監査,,会計監査に関連する業務用語。,Document,会計
3713,会計監査の状況,Audit Status,会計監査の状況に関連する業務用語。,Document,会計
3714,会計監査人,Independent Auditor,会計監査人に関連する業務用語。,Document,会計
3715,会計監査人設置会社,,会計監査人設置会社に関連する業務用語。,Document,会計
3716,会議費,,会議費に関連する業務用語。,Concept,共通
3717,会費,,会費に関連する業務用語。,Concept,共通
3718,伝染病隔絶地遺言,,伝染病隔絶地遺言に関連する業務用語。,Concept,共通
3719,伝染病隔離者遺言,,伝染病隔離者遺言に関連する業務用語。,Concept,共通
3720,伝票,,伝票に関連する業務用語。,Concept,共通
3721,伝票式会計,,伝票式会計に関連する業務用語。,Document,会計
3722,伸び悩む,,伸び悩むに関連する業務用語。,Concept,共通
3723,低位株,,低位株に関連する業務用語。,Concept,共通
3724,低価法,,低価法に関連する業務用語。,Concept,共通
3725,住宅ローン債権担保証券,,住宅ローン債権担保証券に関連する業務用語。,Concept,投資
3726,住宅ローン担保証券,,住宅ローン担保証券に関連する業務用語。,Concept,投資
3727,住宅ローン控除,,住宅ローン控除に関連する業務用語。,Process,金融
3728,住宅市場指数,,住宅市場指数に関連する業務用語。,Concept,共通
3729,住宅建築許可件数,,住宅建築許可件数に関連する業務用語。,Concept,共通
3730,住宅着工・着工許可件数（米国）,,住宅着工・着工許可件数（米国）に関連する業務用語。,Concept,共通
3731,住宅着工件数,,住宅着工件数に関連する業務用語。,Concept,共通
3732,住宅着工件数（米国）,,住宅着工件数（米国）に関連する業務用語。,Concept,共通
3733,住宅着工統計,,住宅着工統計に関連する業務用語。,Concept,共通
3734,住宅金融公庫債券,,住宅金融公庫債券に関連する業務用語。,Concept,投資
3735,住民参加型公募債,,住民参加型公募債に関連する業務用語。,Concept,共通
3736,住民税,,住民税に関連する業務用語。,Concept,共通
3737,体験価値,,体験価値に関連する業務用語。,Concept,共通
3738,使用価値,Value in Use,使用価値に関連する業務用語。,Concept,共通
3739,使用基準,,使用基準に関連する業務用語。,Concept,共通
3740,使途秘匿金,,使途秘匿金に関連する業務用語。,Concept,共通
3741,供給業者,,供給業者に関連する業務用語。,Concept,共通
3742,依頼格付け,,依頼格付けに関連する業務用語。,Concept,共通
3743,価値創造,Value Creation,価値創造に関連する業務用語。,Concept,共通
3744,価格優先の原則,,価格優先の原則に関連する業務用語。,Concept,共通
3745,価格優先原則,,価格優先原則に関連する業務用語。,Concept,共通
3746,価格変動リスク,,価格変動リスクに関連する業務用語。,Concept,共通
3747,価格変動性,,価格変動性に関連する業務用語。,Concept,共通
3748,価格差異,,価格差異に関連する業務用語。,Concept,共通
3749,価格帯別売買高,,価格帯別売買高に関連する業務用語。,Concept,共通
3750,価格弾力性,,価格弾力性に関連する業務用語。,Concept,共通
3751,価格戦略,Pricing Strategy,価格戦略に関連する業務用語。,Concept,共通
3752,価格競争,,価格競争に関連する業務用語。,Concept,共通
3753,価格競争入札コンベンショナル方式,,価格競争入札コンベンショナル方式に関連する業務用語。,Concept,共通
3754,保ち合い,,保ち合いに関連する業務用語。,Concept,共通
3755,保守主義,,保守主義に関連する業務用語。,Concept,共通
3756,保守主義の原則,Conservatism Principle,保守主義の原則に関連する業務用語。,Concept,共通
3757,保管振替制度,,保管振替制度に関連する業務用語。,Concept,共通
3758,保証期間付終身年金,,保証期間付終身年金に関連する業務用語。,Process,人事
3759,保証金率,,保証金率に関連する業務用語。,Concept,共通
3760,保証金額付特別勘定終身年金,,保証金額付特別勘定終身年金に関連する業務用語。,Document,会計
3761,保証金額付終身年金,,保証金額付終身年金に関連する業務用語。,Process,人事
3762,保護関税,,保護関税に関連する業務用語。,Concept,共通
3763,保護預かり,,保護預かりに関連する業務用語。,Concept,共通
3764,保護預り制度,,保護預り制度に関連する業務用語。,Concept,共通
3765,保険つなぎ,,保険つなぎに関連する業務用語。,Concept,共通
3766,保険事故,,保険事故に関連する業務用語。,Concept,共通
3767,保険会社,,保険会社に関連する業務用語。,Entity,共通
3768,保険差益,,保険差益に関連する業務用語。,Concept,共通
3769,保険年度,,保険年度に関連する業務用語。,Concept,共通
3770,保険料,,保険料に関連する業務用語。,Concept,共通
3771,保険料贈与プラン,,保険料贈与プランに関連する業務用語。,Concept,共通
3772,保険期間,,保険期間に関連する業務用語。,Concept,共通
3773,保険相互会社の株式会社化,,保険相互会社の株式会社化に関連する業務用語。,Concept,財務分析
3774,保険証券,,保険証券に関連する業務用語。,Concept,投資
3775,保険金,,保険金に関連する業務用語。,Concept,共通
3776,保険金の非課税枠（相続税法第12条）,,保険金の非課税枠（相続税法第12条）に関連する業務用語。,Concept,共通
3777,保険金受取人,,保険金受取人に関連する業務用語。,Concept,共通
3778,保険関係費用,,保険関係費用に関連する業務用語。,Metric,会計
3779,信用乗数,,信用乗数に関連する業務用語。,Concept,共通
3780,信用倍率,,信用倍率に関連する業務用語。,Concept,共通
3781,信用危機,,信用危機に関連する業務用語。,Concept,共通
3782,信用収縮,,信用収縮に関連する業務用語。,Concept,共通
3783,信用取引,,信用取引に関連する業務用語。,Concept,投資
3784,信用取引の税金,,信用取引の税金に関連する業務用語。,Concept,投資
3785,信用取引残高,,信用取引残高に関連する業務用語。,Concept,投資
3786,信用取引金利,,信用取引金利に関連する業務用語。,Concept,投資
3787,信用取引銘柄,,信用取引銘柄に関連する業務用語。,Concept,投資
3788,信用売り,,信用売りに関連する業務用語。,Concept,共通
3789,信用格付け会社,,信用格付け会社に関連する業務用語。,Entity,共通
3790,信用緩和,,信用緩和に関連する業務用語。,Concept,共通
3791,信用補完,,信用補完に関連する業務用語。,Concept,共通
3792,信用規制,,信用規制に関連する業務用語。,Concept,ガバナンス
3793,信用評価損益率,,信用評価損益率に関連する業務用語。,Document,会計
3794,信用調査,,信用調査に関連する業務用語。,Concept,共通
3795,信用買い,,信用買いに関連する業務用語。,Concept,共通
3796,信用銘柄,,信用銘柄に関連する業務用語。,Concept,共通
3797,信託勘定,,信託勘定に関連する業務用語。,Document,会計
3798,信託協会,,信託協会に関連する業務用語。,Concept,共通
3799,信託受益権,,信託受益権に関連する業務用語。,Concept,共通
3800,信託型ライツプラン,,信託型ライツプランに関連する業務用語。,Concept,共通
3801,信託報酬,,信託報酬に関連する業務用語。,Process,人事
3802,信託契約,,信託契約に関連する業務用語。,Concept,共通
3803,信託期間,,信託期間に関連する業務用語。,Concept,共通
3804,信託約款,,信託約款に関連する業務用語。,Concept,共通
3805,信託財産,,信託財産に関連する業務用語。,Concept,共通
3806,信託財産留保額,,信託財産留保額に関連する業務用語。,Concept,共通
3807,修正NAV,,修正NAVに関連する業務用語。,Concept,共通
3808,修正再表示,,修正再表示に関連する業務用語。,Concept,共通
3809,修正国際基準,,修正国際基準に関連する業務用語。,Concept,共通
3810,修正後発事象,,修正後発事象に関連する業務用語。,Concept,共通
3811,修正株価,,修正株価に関連する業務用語。,Concept,財務分析
3812,修正申告,,修正申告に関連する業務用語。,Concept,共通
3813,修正移動平均線,,修正移動平均線に関連する業務用語。,Concept,共通
3814,修正ＮＡＶ,,修正ＮＡＶに関連する業務用語。,Concept,共通
3815,修繕費,,修繕費に関連する業務用語。,Concept,共通
3816,個人事業主,,個人事業主に関連する業務用語。,Process,人事
3817,個人事業税,,個人事業税に関連する業務用語。,Process,人事
3818,個人向け利付国庫債券,,個人向け利付国庫債券に関連する業務用語。,Concept,投資
3819,個人向け国債,,個人向け国債に関連する業務用語。,Concept,投資
3820,個人向け復興国債,,個人向け復興国債に関連する業務用語。,Concept,投資
3821,個人向け復興応援国債,,個人向け復興応援国債に関連する業務用語。,Concept,投資
3822,個人型401k,,個人型401kに関連する業務用語。,Concept,共通
3823,個人型401ｋ,,個人型401ｋに関連する業務用語。,Concept,共通
3824,個人型DC,,個人型DCに関連する業務用語。,Concept,共通
3825,個人型確定拠出年金,,個人型確定拠出年金に関連する業務用語。,Process,人事
3826,個人型ＤＣ,,個人型ＤＣに関連する業務用語。,Concept,共通
3827,個人年金保険,,個人年金保険に関連する業務用語。,Process,人事
3828,個人情報保護法,Personal Information Protection Law,個人情報保護法に関連する業務用語。,Concept,ガバナンス
3829,個人所得（米国）,,個人所得（米国）に関連する業務用語。,Concept,共通
3830,個人投資家,Individual Investor,個人投資家に関連する業務用語。,Concept,共通
3831,個人持ち株比率,,個人持ち株比率に関連する業務用語。,Concept,共通
3832,個人持株比率,,個人持株比率に関連する業務用語。,Concept,財務分析
3833,個人支出（米国）,,個人支出（米国）に関連する業務用語。,Concept,共通
3834,個人株主,,個人株主に関連する業務用語。,Concept,財務分析
3835,個人消費支出,,個人消費支出に関連する業務用語。,Concept,共通
3836,個人消費（米国）,,個人消費（米国）に関連する業務用語。,Concept,共通
3837,個人番号カード,,個人番号カードに関連する業務用語。,Concept,共通
3838,個別信用残高,,個別信用残高に関連する業務用語。,Concept,共通
3839,個別償却,,個別償却に関連する業務用語。,Metric,会計
3840,個別元本,,個別元本に関連する業務用語。,Concept,共通
3841,個別元本方式,,個別元本方式に関連する業務用語。,Concept,共通
3842,個別原価計算,,個別原価計算に関連する業務用語。,Metric,会計
3843,個別対応,,個別対応に関連する業務用語。,Concept,共通
3844,個別対応方式,,個別対応方式に関連する業務用語。,Concept,共通
3845,個別帰属額の届出書,,個別帰属額の届出書に関連する業務用語。,Concept,共通
3846,個別株オプション,,個別株オプションに関連する業務用語。,Concept,投資
3847,個別株リンク債,,個別株リンク債に関連する業務用語。,Concept,共通
3848,個別株主通知,,個別株主通知に関連する業務用語。,Concept,財務分析
3849,個別格付け,,個別格付けに関連する業務用語。,Concept,共通
3850,個別法,,個別法に関連する業務用語。,Concept,共通
3851,個別注記表,,個別注記表に関連する業務用語。,Process,会計
3852,個別競争売買,,個別競争売買に関連する業務用語。,Concept,共通
3853,個別評価の貸倒引当金,,個別評価の貸倒引当金に関連する業務用語。,Document,会計
3854,個別評価金銭債権,,個別評価金銭債権に関連する業務用語。,Process,人事
3855,個尊重の経営,,個尊重の経営に関連する業務用語。,Concept,共通
3856,倒産,,倒産に関連する業務用語。,Concept,共通
3857,借入金,,借入金に関連する業務用語。,Process,金融
3858,借入金融,,借入金融に関連する業務用語。,Process,金融
3859,借地権,,借地権に関連する業務用語。,Concept,共通
3860,借換債,,借換債に関連する業務用語。,Concept,共通
3861,借方と貸方,,借方と貸方に関連する業務用語。,Concept,共通
3862,借方要素,,借方要素に関連する業務用語。,Concept,共通
3863,借株残,,借株残に関連する業務用語。,Concept,共通
3864,値がさ株,,値がさ株に関連する業務用語。,Concept,共通
3865,値が残る,,値が残るに関連する業務用語。,Concept,共通
3866,値ごろ感,,値ごろ感に関連する業務用語。,Concept,共通
3867,値つき,,値つきに関連する業務用語。,Concept,共通
3868,値つき率,,値つき率に関連する業務用語。,Concept,共通
3869,値つけ株,,値つけ株に関連する業務用語。,Concept,共通
3870,値ぼれ売り,,値ぼれ売りに関連する業務用語。,Concept,共通
3871,値ぼれ買い,,値ぼれ買いに関連する業務用語。,Concept,共通
3872,値を消す,,値を消すに関連する業務用語。,Concept,共通
3873,値ザヤ稼ぎ,,値ザヤ稼ぎに関連する業務用語。,Concept,共通
3874,値上がり株より商いの出来る株を買え,,値上がり株より商いの出来る株を買えに関連する業務用語。,Concept,共通
3875,値付率,,値付率に関連する業務用語。,Concept,共通
3876,値幅制限,,値幅制限に関連する業務用語。,Concept,共通
3877,値幅整理,,値幅整理に関連する業務用語。,Concept,共通
3878,値惚れ買い,,値惚れ買いに関連する業務用語。,Concept,共通
3879,値洗い,,値洗いに関連する業務用語。,Concept,共通
3880,健康経営,Health Management,健康経営に関連する業務用語。,Concept,共通
3881,健康食品,Health Food,健康食品に関連する業務用語。,Concept,共通
3882,偶発事象,,偶発事象に関連する業務用語。,Concept,共通
3883,偶発債務,,偶発債務に関連する業務用語。,Concept,共通
3884,偶発性,,偶発性に関連する業務用語。,Concept,共通
3885,偶発転換社債,,偶発転換社債に関連する業務用語。,Concept,投資
3886,傍系,,傍系に関連する業務用語。,Concept,共通
3887,備品消耗品費,,備品消耗品費に関連する業務用語。,Concept,共通
3888,催促相場,,催促相場に関連する業務用語。,Concept,共通
3889,債券レポ市場,,債券レポ市場に関連する業務用語。,Concept,投資
3890,債券価格,,債券価格に関連する業務用語。,Concept,投資
3891,債券先物取引,,債券先物取引に関連する業務用語。,Concept,投資
3892,債券単価,,債券単価に関連する業務用語。,Concept,投資
3893,債券店頭オプション取引,,債券店頭オプション取引に関連する業務用語。,Concept,投資
3894,債券投資のリスク,,債券投資のリスクに関連する業務用語。,Concept,投資
3895,債券投資の三原則,,債券投資の三原則に関連する業務用語。,Concept,投資
3896,債券担保証券,,債券担保証券に関連する業務用語。,Concept,投資
3897,債券格付,,債券格付に関連する業務用語。,Concept,投資
3898,債券貸借取引,,債券貸借取引に関連する業務用語。,Document,会計
3899,債務の株式化,,債務の株式化に関連する業務用語。,Concept,財務分析
3900,債務不履行,,債務不履行に関連する業務用語。,Concept,共通
3901,債務不履行リスク,,債務不履行リスクに関連する業務用語。,Concept,共通
3902,債務担保証券,,債務担保証券に関連する業務用語。,Concept,投資
3903,債務控除,,債務控除に関連する業務用語。,Concept,共通
3904,債務株式化,,債務株式化に関連する業務用語。,Concept,財務分析
3905,債務確定主義,,債務確定主義に関連する業務用語。,Concept,共通
3906,債務超過,,債務超過に関連する業務用語。,Concept,共通
3907,債権・債務の消去,,債権・債務の消去に関連する業務用語。,Concept,共通
3908,債権保全,,債権保全に関連する業務用語。,Concept,共通
3909,債権放棄,,債権放棄に関連する業務用語。,Concept,共通
3910,債権残高確認,,債権残高確認に関連する業務用語。,Concept,共通
3911,債権残高確認書,,債権残高確認書に関連する業務用語。,Concept,共通
3912,債権者,,債権者に関連する業務用語。,Concept,共通
3913,償却不足額,,償却不足額に関連する業務用語。,Metric,会計
3914,償却原価,,償却原価に関連する業務用語。,Metric,会計
3915,償却超過額,,償却超過額に関連する業務用語。,Metric,会計
3916,償却限度額,,償却限度額に関連する業務用語。,Metric,会計
3917,償還,,償還に関連する業務用語。,Concept,共通
3918,償還乗換優遇制度,,償還乗換優遇制度に関連する業務用語。,Concept,共通
3919,償還予定日,,償還予定日に関連する業務用語。,Concept,共通
3920,償還価額,,償還価額に関連する業務用語。,Concept,共通
3921,償還差損,,償還差損に関連する業務用語。,Concept,共通
3922,償還差益,,償還差益に関連する業務用語。,Concept,共通
3923,償還年限,,償還年限に関連する業務用語。,Concept,共通
3924,償還日,,償還日に関連する業務用語。,Concept,共通
3925,償還期日,,償還期日に関連する業務用語。,Concept,共通
3926,償還期間,,償還期間に関連する業務用語。,Concept,共通
3927,償還請求権,,償還請求権に関連する業務用語。,Concept,共通
3928,償還金,,償還金に関連する業務用語。,Concept,共通
3929,優先債,,優先債に関連する業務用語。,Concept,共通
3930,優先出資証券,,優先出資証券に関連する業務用語。,Concept,投資
3931,優先劣後構造,,優先劣後構造に関連する業務用語。,Concept,共通
3932,優先市場,,優先市場に関連する業務用語。,Concept,共通
3933,優先株,,優先株に関連する業務用語。,Concept,財務分析
3934,優先株式,,優先株式に関連する業務用語。,Concept,財務分析
3935,優待利回り,,優待利回りに関連する業務用語。,Concept,共通
3936,優遇ユーザー,,優遇ユーザーに関連する業務用語。,Concept,共通
3937,優雅なる無視,,優雅なる無視に関連する業務用語。,Concept,共通
3938,元帳,,元帳に関連する業務用語。,Concept,共通
3939,元引受契約,,元引受契約に関連する業務用語。,Concept,共通
3940,元本,,元本に関連する業務用語。,Concept,共通
3941,元本リスク,,元本リスクに関連する業務用語。,Concept,共通
3942,元本利子分離債,,元本利子分離債に関連する業務用語。,Concept,共通
3943,元本払戻金,,元本払戻金に関連する業務用語。,Concept,共通
3944,元本確保型商品,,元本確保型商品に関連する業務用語。,Concept,共通
3945,先安,,先安に関連する業務用語。,Concept,共通
3946,先導株比率,,先導株比率に関連する業務用語。,Concept,共通
3947,先日付小切手,,先日付小切手に関連する業務用語。,Concept,共通
3948,先渡し取引,,先渡し取引に関連する業務用語。,Concept,共通
3949,先渡取引,,先渡取引に関連する業務用語。,Concept,共通
3950,先物理論価格,,先物理論価格に関連する業務用語。,Concept,投資
3951,先物買い,,先物買いに関連する業務用語。,Concept,投資
3952,先行指数,,先行指数に関連する業務用語。,Concept,共通
3953,先行指標,,先行指標に関連する業務用語。,Concept,共通
3954,先見性,,先見性に関連する業務用語。,Concept,共通
3955,先駆株,,先駆株に関連する業務用語。,Concept,共通
3956,先高,,先高に関連する業務用語。,Concept,共通
3957,免税事業者,,免税事業者に関連する業務用語。,Concept,共通
3958,免税取引,,免税取引に関連する業務用語。,Concept,共通
3959,兜倶楽部,,兜倶楽部に関連する業務用語。,Concept,共通
3960,兜町,,兜町に関連する業務用語。,Concept,共通
3961,入庫,,入庫に関連する業務用語。,Concept,共通
3962,入荷基準,,入荷基準に関連する業務用語。,Concept,共通
3963,入金伝票,,入金伝票に関連する業務用語。,Concept,共通
3964,全値戻し,,全値戻しに関連する業務用語。,Concept,共通
3965,全値押し,,全値押しに関連する業務用語。,Concept,共通
3966,全固体電池,,全固体電池に関連する業務用語。,Concept,共通
3967,全国企業短期経済観測調査,,全国企業短期経済観測調査に関連する業務用語。,Entity,共通
3968,全国銀行データ通信システム,,全国銀行データ通信システムに関連する業務用語。,Entity,金融
3969,全産業活動指数,,全産業活動指数に関連する業務用語。,Concept,共通
3970,全社戦略,,全社戦略に関連する業務用語。,Concept,共通
3971,全米証券業協会,,全米証券業協会に関連する業務用語。,Concept,投資
3972,全部のれん,,全部のれんに関連する業務用語。,Document,会計
3973,全部原価計算,,全部原価計算に関連する業務用語。,Metric,会計
3974,全銀システム,,全銀システムに関連する業務用語。,Concept,共通
3975,全面安,,全面安に関連する業務用語。,Concept,共通
3976,全面時価評価法,,全面時価評価法に関連する業務用語。,Process,人事
3977,全面高,,全面高に関連する業務用語。,Concept,共通
3978,公会計,,公会計に関連する業務用語。,Document,会計
3979,公共債,,公共債に関連する業務用語。,Concept,共通
3980,公共法人,,公共法人に関連する業務用語。,Entity,共通
3981,公共部門ネット負債,,公共部門ネット負債に関連する業務用語。,Concept,会計
3982,公募,,公募に関連する業務用語。,Concept,共通
3983,公募・売り出し価格,,公募・売り出し価格に関連する業務用語。,Concept,共通
3984,公募価格,,公募価格に関連する業務用語。,Concept,共通
3985,公募割れ,,公募割れに関連する業務用語。,Concept,共通
3986,公募地方債,,公募地方債に関連する業務用語。,Concept,投資
3987,公募増資,Public Offering,公募増資に関連する業務用語。,Concept,共通
3988,公募投信,,公募投信に関連する業務用語。,Concept,共通
3989,公募投資信託,,公募投資信託に関連する業務用語。,Metric,投資
3990,公募株式投資信託,,公募株式投資信託に関連する業務用語。,Concept,財務分析
3991,公定歩合,,公定歩合に関連する業務用語。,Concept,共通
3992,公平理論,,公平理論に関連する業務用語。,Concept,共通
3993,公正な評価額,,公正な評価額に関連する業務用語。,Process,人事
3994,公正取引委員会,,公正取引委員会に関連する業務用語。,Entity,ガバナンス
3995,公正証書,,公正証書に関連する業務用語。,Concept,共通
3996,公正証書遺言,,公正証書遺言に関連する業務用語。,Concept,共通
3997,公的固定資本形成,,公的固定資本形成に関連する業務用語。,Concept,共通
3998,公的年金,,公的年金に関連する業務用語。,Process,人事
3999,公的年金控除,,公的年金控除に関連する業務用語。,Process,人事
4000,公的年金等控除,,公的年金等控除に関連する業務用語。,Process,人事
4001,公的資金,,公的資金に関連する業務用語。,Concept,共通
4002,公益法人,,公益法人に関連する業務用語。,Entity,共通
4003,公益社団法人,,公益社団法人に関連する業務用語。,Entity,共通
4004,公示レート,,公示レートに関連する業務用語。,Concept,共通
4005,公示催告,,公示催告に関連する業務用語。,Concept,共通
4006,公示地価,,公示地価に関連する業務用語。,Concept,共通
4007,公社債,,公社債に関連する業務用語。,Concept,投資
4008,公社債ファンド,,公社債ファンドに関連する業務用語。,Concept,投資
4009,公社債店頭売買参考統計値,,公社債店頭売買参考統計値に関連する業務用語。,Concept,投資
4010,公社債投資信託,,公社債投資信託に関連する業務用語。,Concept,投資
4011,公租公課,,公租公課に関連する業務用語。,Concept,共通
4012,公表銘柄,,公表銘柄に関連する業務用語。,Concept,共通
4013,公証人,,公証人に関連する業務用語。,Concept,共通
4014,公証人役場,,公証人役場に関連する業務用語。,Concept,共通
4015,公証役場,,公証役場に関連する業務用語。,Concept,共通
4016,公認会計士,,公認会計士に関連する業務用語。,Document,会計
4017,公認会計士監査,,公認会計士監査に関連する業務用語。,Document,会計
4018,公開会社,,公開会社に関連する業務用語。,Entity,共通
4019,公開価格,,公開価格に関連する業務用語。,Concept,共通
4020,公開前規制,,公開前規制に関連する業務用語。,Concept,ガバナンス
4021,公開基準,,公開基準に関連する業務用語。,Concept,共通
4022,公開市場操作,,公開市場操作に関連する業務用語。,Concept,共通
4023,公開買い付け代理人,,公開買い付け代理人に関連する業務用語。,Concept,共通
4024,公開買い付け制度,,公開買い付け制度に関連する業務用語。,Concept,共通
4025,公開買い付け説明書,,公開買い付け説明書に関連する業務用語。,Concept,共通
4026,公開買付け,,公開買付けに関連する業務用語。,Event,投資
4027,公開買付代理人,,公開買付代理人に関連する業務用語。,Event,投資
4028,共分散,,共分散に関連する業務用語。,Concept,投資
4029,共同事業,,共同事業に関連する業務用語。,Concept,共通
4030,共同支配企業,,共同支配企業に関連する業務用語。,Entity,共通
4031,共同発行債,,共同発行債に関連する業務用語。,Concept,共通
4032,共同発行地方債,,共同発行地方債に関連する業務用語。,Concept,投資
4033,共同発行市場公募地方債,,共同発行市場公募地方債に関連する業務用語。,Concept,投資
4034,共有分割,,共有分割に関連する業務用語。,Concept,共通
4035,共有型経済,,共有型経済に関連する業務用語。,Concept,共通
4036,共済年金,,共済年金に関連する業務用語。,Process,人事
